"group","hour","avg_temperature","std","n"
"HFR",63,36.5165467625899,0.428429610342659,278
"HFR",64,36.5490272373541,0.467047980042178,257
"HFR",65,36.5539033457249,0.482176353007084,269
"HFR",66,36.5449511400651,0.481214674510641,307
"HFR",67,36.5765799256506,0.440837286510121,269
"HFR",68,36.6041353383459,0.405180840724096,266
"HFR",69,36.5660447761194,0.464229890513329,268
"HFR",70,36.5741134751773,0.488446693233705,282
"HFR",71,36.6086274509804,0.457574139287028,255
"HFR",72,36.595256916996,0.414682457881431,253
"HSR",0,36.9197139938713,1.00900319309665,979
"HSR",1,36.7156295224313,0.908551324320351,691
"HSR",2,36.9771208226221,0.853090943476297,778
"HSR",3,37.2177522349936,0.722123222701071,783
"HSR",4,37.3499393939394,0.685337505410617,825
"HSR",5,37.5132919254658,0.749317912389498,805
"HSR",6,37.5685474189676,0.668878889787281,833
"HSR",7,37.5913247362251,0.637718758423451,853
"HSR",8,37.6341260404281,0.646133723664694,841
"HSR",9,37.6653562653563,0.637147555115938,814
"HSR",10,37.6549539170507,0.623463461326027,868
"HSR",11,37.6512820512821,0.604092991813331,858
"HSR",12,37.650395480226,0.6254521998348,885
"HSR",13,37.6600243013366,0.645737285391275,823
"HSR",14,37.6266742338252,0.594695448704923,881
"HSR",15,37.648309178744,0.611367164620499,828
"HSR",16,37.6314837153197,0.598214205401098,829
"HSR",17,37.6600737100737,0.640180244046663,814
"HSR",18,37.6071428571429,0.636931904588121,826
"HSR",19,37.6332920792079,0.643501923068568,808
"HSR",20,37.612323491656,0.636266518747694,779
"HSR",21,37.6294666666667,0.675509782937806,750
"HSR",22,37.6,0.64921105967166,801
"HSR",23,37.6131258457375,0.627792060857149,739
"HSR",24,37.6119424460432,0.615775883780683,695
"HSR",25,37.616106442577,0.677410273538985,714
"HSR",26,37.5895380434783,0.650284545708615,736
"HSR",27,37.6564606741573,0.656387291872958,712
"HSR",28,37.6236764705882,0.640104014954613,680
"HSR",29,37.6488200589971,0.676481967504847,678
"HSR",30,37.5591755319149,0.624165689564086,752
"HSR",31,37.6213068181818,0.615887796360616,704
"HSR",32,37.5354933726068,0.619275685150442,679
"HSR",33,37.5595808383234,0.632631735289851,668
"HSR",34,37.5982954545455,0.666702416171528,704
"HSR",35,37.5416789396171,0.621149479215154,679
"HSR",36,37.5135802469136,0.602827564379589,648
"HSR",37,37.5209480122324,0.64970603817218,654
"HSR",38,37.5337570621469,0.642950243691035,708
"HSR",39,37.4975116640747,0.591313046881281,643
"HSR",40,37.478527607362,0.601354572458968,652
"HSR",41,37.4964615384615,0.623576173599619,650
"HSR",42,37.4831804281346,0.697945996223147,654
"HSR",43,37.5,0.676878757426361,644
"HSR",44,37.4612005856515,0.647057195276121,683
"HSR",45,37.4568659127625,0.662468561714538,619
"HSR",46,37.4616398243045,0.683825451692443,683
"HSR",47,37.478640776699,0.6538727147935,618
"HSR",48,37.45,0.634669543829112,664
"HSR",49,37.5406301824212,0.712249910099219,603
"HSR",50,37.4733944954128,0.682797892536546,654
"HSR",51,37.4416938110749,0.667263700298849,614
"HSR",52,37.4441130298273,0.751361891239292,637
"HSR",53,37.4047077922078,0.649898487886431,616
"HSR",54,37.4429245283019,0.70097587811324,636
"HSR",55,37.3738255033557,0.69935345634,596
"HSR",56,37.36432,0.710649684696317,625
"HSR",57,37.3388709677419,0.673851814313313,620
"HSR",58,37.3515447154472,0.649224082765129,615
"HSR",59,37.3642605633803,0.694351726428356,568
"HSR",60,37.3414754098361,0.686631280830325,610
"HSR",61,37.3732394366197,0.698288711226841,568
"HSR",62,37.2728956228956,0.626418955227379,594
"HSR",63,37.327304964539,0.699402820054365,564
"HSR",64,37.2902777777778,0.639572623004314,576
"HSR",65,37.3091228070175,0.667883051499799,570
"HSR",66,37.2860841423948,0.645844871038448,618
"HSR",67,37.3353703703704,0.697962082428703,540
"HSR",68,37.2950354609929,0.681454534750569,564
"HSR",69,37.2842676311031,0.671944410321773,553
"HSR",70,37.2981418918919,0.670969140331829,592
"HSR",71,37.3024074074074,0.689554816416351,540
"HSR",72,37.3024518388792,0.743199068307124,571
"HT",0,36.0520969855832,0.794690697495566,1526
"HT",1,35.9326979472141,0.93989785724385,682
"HT",2,36.0168874172185,0.900872273748867,906
"HT",3,36.0379912663755,0.8409452812424,916
"HT",4,36.0880296610169,0.802656469101673,944
"HT",5,36.0833887043189,0.770140389888974,903
"HT",6,36.1194280078895,0.754929354281021,1014
"HT",7,36.1398785425101,0.737041915794753,988
"HT",8,36.1229083665339,0.689237233235905,1004
"HT",9,36.1215982721382,0.752342672469556,926
"HT",10,36.140350877193,0.717835142215279,1026
"HT",11,36.122520661157,0.713011767320798,968
"HT",12,36.187875751503,0.665516365457124,998
"HT",13,36.1463752665245,0.745353930888195,938
"HT",14,36.1861904761905,0.695861223676496,1050
"HT",15,36.1819191919192,0.665870537594626,990
"HT",16,36.1788732394366,0.729880412081149,994
"HT",17,36.148596112311,0.729378243138118,926
"HT",18,36.1769527483124,0.683435543111065,1037
"HT",19,36.1956300813008,0.663962035271893,984
"HT",20,36.1834146341463,0.675967224251439,1025
"HT",21,36.225341745531,0.676336309937361,951
"HT",22,36.2079262672811,0.665263476160726,1085
"HT",23,36.2211650485437,0.605577094222836,1030
"HT",24,36.2094210009814,0.649368408873277,1019
"HT",25,36.1944734098019,0.647026851391547,959
"HT",26,36.2149362477231,0.634682103429154,1098
"HT",27,36.2086781029263,0.683621793006608,991
"HT",28,36.2263210368893,0.637958574157789,1003
"HT",29,36.191935483871,0.671894255328481,930
"HT",30,36.2339805825243,0.677810658113557,1030
"HT",31,36.2109422492401,0.634138523547389,987
"HT",32,36.2113226452906,0.657021373597777,998
"HT",33,36.2057235421166,0.698987426114942,926
"HT",34,36.217961654894,0.654279063915133,991
"HT",35,36.2308383233533,0.687811029132702,1002
"HT",36,36.2619284294235,0.624533146113118,1006
"HT",37,36.2582978723404,0.66170567072578,940
"HT",38,36.2687992125984,0.669299269650027,1016
"HT",39,36.2581322140609,0.673695031231582,953
"HT",40,36.2955020920502,0.639674867507919,956
"HT",41,36.3276457883369,0.584254912728261,926
"HT",42,36.2853509664293,0.627922133403259,983
"HT",43,36.3359085963003,0.584527271450883,919
"HT",44,36.3136268343816,0.609287037249069,954
"HT",45,36.3394039735099,0.611332462058506,906
"HT",46,36.3252307692308,0.562006637918631,975
"HT",47,36.3519509476031,0.57641429893762,897
"HT",48,36.3251585623679,0.584817817438281,946
"HT",49,36.3329873125721,0.672433589069964,867
"HT",50,36.3441737288136,0.616413837098731,944
"HT",51,36.3417508417508,0.673367245983032,891
"HT",52,36.3603543743079,0.587056136616464,903
"HT",53,36.3449172576832,0.665545240023838,846
"HT",54,36.3497123130035,0.612591033466618,869
"HT",55,36.3530424799082,0.681605135149632,871
"HT",56,36.355871886121,0.656556946461911,843
"HT",57,36.3540740740741,0.609414758624302,810
"HT",58,36.384984358707,0.631302274972596,959
"HT",59,36.3752955082742,0.635883279940282,846
"HT",60,36.3650507328072,0.648854323472682,887
"HT",61,36.3693982074264,0.614022693514359,781
"HT",62,36.3896929824561,0.591508809594378,912
"HT",63,36.3795765877958,0.658121198011152,803
"HT",64,36.382476635514,0.656160326233207,856
"HT",65,36.3470290771176,0.689239645571022,791
"HT",66,36.3982062780269,0.603764035158885,892
"HT",67,36.3775212636695,0.628203849957998,823
"HT",68,36.4232121922626,0.642344223633413,853
"HT",69,36.3880201765448,0.65927358217818,793
"HT",70,36.3835972850679,0.661180659742164,884
"HT",71,36.4393162393162,0.62785194505322,819
"HT",72,36.449255441008,0.602843050189103,873
"NT",0,36.513614522157,0.620914020988907,3746
"NT",1,36.4092268041237,0.654797363710736,1939
"NT",2,36.5526178010471,0.534842031608478,2292
"NT",3,36.6337298215803,0.474725344875273,2354
"NT",4,36.6933852140078,0.465763456036047,2569
"NT",5,36.738184079602,0.463630939854268,2411
"NT",6,36.7514470677837,0.453876216035636,2626
"NT",7,36.7758353708231,0.453764000598124,2454
"NT",8,36.7890395480226,0.447891758629443,2655
"NT",9,36.8143206854345,0.442325646010806,2451
"NT",10,36.8213461538462,0.422676428263325,2600
"NT",11,36.8054502369668,0.438931565614406,2531
"NT",12,36.8135853293413,0.438965485341609,2671
"NT",13,36.8241137675185,0.446373402285698,2426
"NT",14,36.810862745098,0.431183970370816,2550
"NT",15,36.8182487725041,0.440186627682475,2444
"NT",16,36.8203872437358,0.441037345784373,2633
"NT",17,36.8336550566513,0.441117609922358,2382
"NT",18,36.8271311794473,0.420724303506409,2569
"NT",19,36.8199408534009,0.42085269061966,2366
"NT",20,36.8199137593101,0.421057669668987,2550
"NT",21,36.8345469940728,0.418343157681403,2362
"NT",22,36.8282547359936,0.411326210218168,2481
"NT",23,36.8262711864407,0.407845478161878,2359
"NT",24,36.8359180393732,0.40056678457751,2488
"NT",25,36.8406613047364,0.401472380235099,2238
"NT",26,36.8211812627291,0.412576620696605,2455
"NT",27,36.8315605928509,0.401651091432404,2294
"NT",28,36.8432612312812,0.415352901082042,2403
"NT",29,36.8359876814782,0.436644640527865,2273
"NT",30,36.8246806757314,0.39999568604624,2427
"NT",31,36.84001770695,0.416543624798619,2259
"NT",32,36.8237130801688,0.404255186957111,2370
"NT",33,36.8335159817352,0.402027710499449,2189
"NT",34,36.8258212058212,0.39571672118701,2404
"NT",35,36.8363886342805,0.400670427634716,2182
"NT",36,36.8356099656357,0.382659104792751,2328
"NT",37,36.8177625570776,0.387845860347401,2190
"NT",38,36.8262647554806,0.386024141205228,2371
"NT",39,36.8290876242096,0.382636439491113,2214
"NT",40,36.8380193033991,0.388291836670398,2383
"NT",41,36.8305568554048,0.386871779839973,2135
"NT",42,36.8307725138711,0.392538924051832,2343
"NT",43,36.8280973451327,0.388653718006937,2260
"NT",44,36.8437856829161,0.395484490426002,2276
"NT",45,36.8507928880346,0.393481252445804,2081
"NT",46,36.8604229607251,0.395768194166773,2317
"NT",47,36.8621391386654,0.397524972470065,2113
"NT",48,36.8629364368845,0.389754097597237,2233
"NT",49,36.8512536162006,0.393214111497651,2073
"NT",50,36.8769969445657,0.402263106114491,2291
"NT",51,36.8600096711799,0.412998053581969,2067
"NT",52,36.8366556447804,0.386562771068192,2117
"NT",53,36.8638360175695,0.392078700609498,2049
"NT",54,36.8576509124942,0.399072782767793,2136
"NT",55,36.8460691036555,0.41102153061501,1997
"NT",56,36.831047265987,0.389619498166292,2157
"NT",57,36.8322727272727,0.391578717797677,1979
"NT",58,36.8314244465833,0.399974712512013,2078
"NT",59,36.8254201680672,0.382808209153137,1904
"NT",60,36.8028084252758,0.394279384733106,1993
"NT",61,36.8325245224574,0.37782746393384,1936
"NT",62,36.8237173281704,0.39837311462984,2066
"NT",63,36.817132505176,0.407619628848027,1932
"NT",64,36.8098759305211,0.401000157861664,2014
"NT",65,36.8246430460074,0.406437376197612,1891
"NT",66,36.8373813093453,0.40662260024559,2001
"NT",67,36.8464079706345,0.393802256879013,1907
"NT",68,36.8106275303644,0.393141725250366,1975
"NT",69,36.8228315612759,0.413509596089618,1787
"NT",70,36.8386646736422,0.411535813127147,2006
"NT",71,36.8325229605619,0.415810584329085,1851
"NT",72,36.8378964059197,0.406174467945968,1892
